,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8
2416,Bar La Parra,"Carrer de Joaquín Costa, 48, 08001 Barcelona, Espagne",41.3830106,2.1653444,0,0,0,Cheapest beer,2.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,Bar La Virgule,"Place Alexandre Médecin, 06100 Nice, France",43.7200079,7.2623525,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,Bar Le Galant,"7 Rue de la Cossonnerie, 75001 Paris-1ER-Arrondissement, France",48.8613869,2.3486486,14,22,2,Cheapest beer,9.5,5.5,50,La Chouffe,,7.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2419,Bar Le Paradis,"7 Rue de Sofia, 75018 Paris-18E-Arrondissement, France",48.8845624,2.3489276,17,1,4,Cheapest beer,3.5,3.5,50,1664 Blanche,,5.0,50.0,La Chouffe,,7.0,50.0,Grimbergen Blonde,,5 ,50,Parisis IPA,,7 ,50,Stella Artois,,3.5 ,50,,,,,,,,
2420,Bar Les Clips,"Boulevard Général Sibille, 81000 Albi, France",43.9262735,2.1432781,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,Bar Les Gens Que J'aime,"Rue du Midi 15, 1000 Bruxelles, Belgio",50.8470755,4.3503679,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,Bar Lisa,"Carrer de n'Arai, 3, 08002 Barcelona, Espagne",41.3805356,2.1770355,0,0,0,Cheapest beer,3.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,Cafe Léon,"50 Rue Léon, 75018 Paris, France",48.8901506,2.353426,17,23,0,Cheapest beer,6.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,Café La Place,"3 Place Cambronne, 75015 Paris-15E-Arrondissement, France",48.8477396,2.3016595,0,0,0,Cheapest beer,,6.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,Café Lacombe,55 Rue des Acacias,48.8170054,5.6119453,17,21,10,Carlsberg,10.0,5.0,50,Grimbergen Blanche,11.0,5.5,50.0,Warsteiner,11.0,5.5,50.0,Branik,10 ,5 ,50,Licorne,11 ,5.5 ,50,,,,,,,,,,,,
2426,Café Lamartine,"182 Avenue Victor Hugo, 75116 Paris, France",48.8659108,2.2761725,17,19,0,Cheapest beer,7.8,6.0,50,Pelforth,7.8,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2427,Café Laurette,"20 Rue de Châteaudun, 75009 Paris, France",48.8760866,2.3383151,1630,1930,1,Cruzcampo,7.5,5.0,50,Heineken,8.0,6.5,50.0,Mort Subite Blanche,8.0,6.5,50.0,Ciney Blonde,8 ,6.5 ,50,Hapkin,8.5 ,7 ,50,,,,,,,,,,,,
2429,Café Le Centre,"48 Rue du Général de Gaulle, 94350 Villiers-sur-Marne, France",48.8272621,2.5425408,15,20,2,Heineken,6.4,5.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,Café Le Triomphe,"8 Avenue de la Grande Armée, 75017 Paris, France",48.8748214,2.2928554,16,19,5,Cheapest beer,7.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,Café Leffe,6 Rue Pasteur,32.998305,-7.6195516,17,19,0,Cheapest beer,6.0,5.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,Café Leffe,"2 Passage d'Arcole, 92500 Rueil-Malmaison, France",48.8772684,2.1805356,17,19,3,Cheapest beer,6.1,4.2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,Café Leffe,"97 Avenue du Général Leclerc, 92340 Bourg-la-Reine, France",48.7800676,2.3157172,17,19,5,Stella Artois,6.4,3.2,50,Hoegaarden Wit-Blanche,7.9,4.2,50.0,Hoegaarden Rosée,8.9,4.9,50.0,Leffe Blonde,8.2 ,4.6 ,50,Leffe Ruby,8.9 ,4.9 ,50,Leffe Royale Whitbread Golding,9.2 ,5.2 ,50,Leffe Royale Cascade IPA,9.2 ,5.2 ,50,TBD,TBD,TBD,TBD
2434,Café Leone,"Rue Mercière, Lyon, France",45.7633555,4.832622,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,Café Les Mouettes,"130 Rue du Bac, 75007 Paris, France",48.851585,2.3234972,0,0,1,Cheapest beer,8.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,Café Lilou,"62 Boulevard de Port-Royal, 75005 Paris, France",48.8377781,2.3457182,0,0,0,Cheapest beer,,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,Café Losserand,"77 Rue Raymond Losserand, 75014 Paris, France",48.8338423,2.3180518,1630,20,0,Cheapest beer,6.0,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,Café Louis,"154 Avenue de Versailles, 75016 Paris, France",48.8407506,2.26469,15,19,1,Cheapest beer,7.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,Café Louis,"59 Rue Louis Rouquier, 92300 Levallois-Perret, France",48.8911195,2.2875166,16,20,1,Cheapest beer,6.8,5.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,Café Lumière,"15 Rue Saint-Blaise, 75020 Paris, France",48.8596231,2.4050255,16,19,0,Cheapest beer,6.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,Café Léopard,"149 Boulevard Voltaire, 75011 Paris, France",48.8555276,2.3843963,16,20,6,Cheapest beer,6.7,3.0,50,Kronenbourg,,3.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2442,Café leffe,"Cours des Dames, 17000 La Rochelle, France",46.1568371,-1.1538136,0,0,0,Cheapest beer,7.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,LE17,"17 Boulevard de Magenta, 75010 Paris, France",48.8705009,2.3610037,15,21,7,Stella Artois,5.5,4.0,50,Leffe Blonde,6.0,5.0,50.0,Vedett Extra White,6.0,5.0,50.0,Chimay Triple,6.5 ,5 ,50,La Chouffe,6.5 ,5.5 ,50,Vedett Extra IPA,6.5 ,5 ,50,Duvel,5 ,5 ,33,TBD,TBD,TBD,TBD
2444,LEGATO Bar Lounge Restaurant,22 Avenue Jean Lolive,48.8904896,2.3993324,17,20,1,Cheapest beer,6.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,LEKUA,"299 Avenue de l'Adour, 64600 Anglet, France",43.5264724,-1.5130576,0,0,2,1664 Blanche,6.0,,50,Carlsberg,6.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2446,La Laiterie,"4 Rue Lunaret, 34090 Montpellier, France",43.6160012,3.8791596,0,0,2,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,La Lanterne,"5 Rue de la Lanterne, 67000 Strasbourg, France",48.581548,7.7472096,15,19,1,Cheapest beer,5.0,3.4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,La Lanterne,"13 Rue Marcel Sembat, 93100 Montreuil, France",48.8584709,2.4338072,15,19,1,Cheapest beer,4.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,La Laverie,"1 Rue Sorbier, 75020 Paris-20E-Arrondissement, France",48.8685943,2.3900447,0,0,2,Cheapest beer,5.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,La Liberté,"196 Rue du Faubourg Saint-Antoine, 75012 Paris, Francia",48.8520337,2.3732022,0,0,2,Stella Artois,4.0,,25,Leffe Blonde,6.5,,25.0,Triple Karmeliet,7.5,,25.0,,,,,,,,,,,,,,,,,,,,
2451,La Lingerie (Les Grands Voisins),"82 Avenue Denfert-Rochereau, 75014 Paris, France",48.8370812,2.3344276,0,0,3,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,La Louvière,"8 Place de la Louvière, 94100 Saint-Maur-des-Fossés, France",48.8051135,2.4862189,16,20,0,Cheapest beer,5.9,5.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,La Légende,"100 Rue Legendre, 75017 Paris, France",48.8876448,2.3203489,0,0,3,Carlsberg,6.5,,50,La Chouffe,8.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2454,Lahaut,"11 Rue Hégésippe Moreau, 75018 Paris, France",48.8871903,2.3270094,0,0,0,Kronenbourg,5.5,,50,Grimbergen Ambrée,6.5,,50.0,Grimbergen Blanche,6.5,,50.0,,,,,,,,,,,,,,,,,,,,
2455,Lambicus,"Carrer de Tamarit, 107, 08015 Barcelona, Espagne",41.3760429,2.1575402,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,Landon Café - Chez Adel,"12 Rue du Château Landon, 75010 Paris, France",48.8803008,2.3624418,16,20,0,Cheapest beer,5.5,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,Largo,"Largo do Intendente Pina Manique 52, 1100-285 Lisboa, Portugal",38.72068085,-9.134971337407286,0,0,0,Cheapest beer,2.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,Las Fadas,"Carrer del Consell de Cent, 275, 08011 Barcelona, Espagne",41.3864939,2.1595943,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,Last Call,"3988 18th St, San Francisco, CA 94114, USA",37.76112383673469,-122.43245210204081,11,18,2,Cheapest beer,3.0,2.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,Laterrasse,"145 Boulevard Saint-Michel, 75005 Paris, France",48.8513977,2.3431724,1530,22,15,Cheapest beer,5.0,4.0,50,Pelforth,5.0,5.0,50.0,Affligem,,6.0,50.0,Edelweiss Blanche,,6 ,50,,,,,,,,,,,,,,,,
2461,Latin American Club,"3286 22nd St, San Francisco, CA 94110, USA",37.755399749999995,-122.42061825,0,0,1,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,Laura,"44 Rue Paul Barruel, 75015 Paris, France",48.8373603,2.305846,16,20,0,Cheapest beer,6.0,5.0,50,Belzebuth Blanche,6.5,5.0,50.0,La Chouffe,8.0,8.0,50.0,Leffe Blonde,7 ,7 ,50,,,,,,,,,,,,,,,,
2463,Lavista,"Place Jean Jaurès, 34000 Montpellier, France",43.60984565,3.877815463649311,0,0,1,Cheapest beer,,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,Le La Fayette,"2 Place Henri IV, 92150 Suresnes, France",48.87013705,2.2277459682041822,16,23,0,Grimbergen Blanche,8.0,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,Le Lafon,"21 Rue Réaumur, 75002 Paris, France",48.8651013,2.3573146,0,0,9,Pelforth,,3.8,50,Edelweiss Blanche,,5.0,50.0,Affligem,,5.5,50.0,,,,,,,,,,,,,,,,,,,,
2466,Le Lakanal,"2 Avenue René Coty, 75014 Paris, France",48.833209,2.332583,15,20,4,Cheapest beer,8.5,5.5,50,Carlsberg,8.7,5.6,46.0,La Chouffe,9.5,6.8,50.0,Kronenbourg,8.8 ,5.7 ,50,Guinness,9.6 ,7.1 ,50,,,,,,,,,,,,
2467,Le Latin Saint Germain,"92 Boulevard Saint-Germain, 75005 Paris, France",48.8512554,2.3443144,15,20,1,Cheapest beer,10.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,Le Lelek Café,"2 Boulevard de Ménilmontant, 75020 Paris-20E-Arrondissement, France",48.8585499,2.3900826,0,0,1,Cheapest beer,,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,Le Lescot,"5 Rue Lassus, 75019 Paris, France",48.8754147,2.3888922,0,0,0,Urubu,4.6,,50,belzebuth blanche ,5.6,,50.0,Vedett Extra IPA,7.0,,50.0,goudale,7.4 ,,50,,,,,,,,,,,,,,,,
2471,Le Liberté,"190 Avenue d'Italie, 75013 Paris, France",48.8197716,2.3589869,15,23,1,Cheapest beer,5.6,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,Le Libre Échange,"127 Avenue de Clichy, 75017 Paris, France",48.8904104,2.3202658,0,0,2,Kronenbourg,8.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,Le Lido,"70 Boulevard Richard Wallace, 92800 Puteaux, France",48.8811699,2.2373374,0,0,0,Cheapest beer,5.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,Le Limousin,"42 Rue Cantagrel, 75013 Paris, France",48.827238,2.3739098,16,22,7,Cheapest beer,5.5,4.0,50,La Chouffe,,5.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2475,Le Lion D'or,"1 Rue des Mauges, 49600 Beaupréau-en-Mauges, France",47.1983912,-0.9945727,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,Le Lipstick,5 Rue Frochot,48.8814056,2.3373955,17,21,8,Saint Omer,6.5,3.5,50,Corona,6.0,,33.0,Goose Island IPA,6.0,,33.0,Camden Pale Ale,7 ,,50,,,,,,,,,,,,,,,,
2477,Le Lithographe,"234 Boulevard Raspail, 75014 Paris, France",48.8415947,2.3297367,0,0,1,Cheapest beer,,4.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,Le Little,"4 Avenue de la République, 75011 Paris, France",48.866704,2.3661701,16,19,2,Cheapest beer,6.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,Le Live Bar,"7 Rue des États, 44000 Nantes, France",47.2155778,-1.5505249,0,0,1,Jupiler,4.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,Le Living,"Avenue René Samuel, 92140 Clamart, France",48.8003954,2.2615048,16,18,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,Le Local,"130 Rue Oberkampf, 75011 Paris, France",48.8662408,2.3802157,16,21,4,Cheapest beer,5.0,3.0,50,La Chouffe,8.0,6.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2482,Le Lock Groove,"15 Rue Roger, 75014 Paris, France",48.8353665,2.3266826,15,20,14,Grolsch,6.0,4.0,50,Maredsous Blonde,7.0,5.0,50.0,Delirium Tremens,7.0,5.0,50.0,Barge du Canal IPA,7 ,5 ,50,,,,,,,,,,,,,,,,
2483,Le Londress,"97 Rue du Faubourg Saint-Denis, 75010 Paris, France",48.874491,2.3553587,0,0,1,Cheapest beer,6.0,,50,Grolsch,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2484,Le Longchamp,"5 Rue du Sergent Bauchat, 75012 Paris, France",48.844472,2.3906768,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,Le Loti,"53 Rue Jean-Pierre Timbaud, 75011 Paris, France",48.8668636,2.3740369,16,19,1,Cheapest beer,5.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,Le Louis Blanc,"2 Rue Louis Blanc, 44200 Nantes, France",47.2072261,-1.5551893,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,Le Louis XVI,"47 Rue des Mathurins, 75008 Paris, France",48.8733209,2.3233937,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,Le Lounge,"2 Rue Malherbe, 14400 Bayeux, France",49.2866243,-0.71943,0,0,0,Cheapest beer,5.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,Le Louvre,"Place de la République, 26000 Valence, France",44.9304795,4.8913415,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,Le Lupulus (Fermé Definitivement),"27 Place nationale, 82000 Montauban, France",44.0176928,1.3545641,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,Le Lutece,"274 Rue Lecourbe, 75015 Paris, France",48.8385581,2.2890341,0,0,5,Cheapest beer,6.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,Le Lutecia,"13 Rue du Maréchal Leclerc, 59220 Denain, France",50.3277574,3.3958729,0,0,0,Leffe Blonde,8.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,Le Lutetia,"61 Rue de Rome, 75008 Paris, France",48.8798209,2.321533,16,19,0,Cheapest beer,6.4,5.0,50,1664,7.4,5.5,50.0,Grimbergen Blonde,7.8,5.5,50.0,1664 Blanche,7.8 ,5.5 ,50,,,,,,,,,,,,,,,,
2494,Le Lutécia,"49 Rue Linois, 75015 Paris, France",48.8471019,2.2853458,0,0,0,Cheapest beer,8.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,Le Lyautey,"12 Rue de Wazemmes, 59000 Lille, France",50.6226936,3.0665618,1730,21,1,Cheapest beer,4.0,2.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,Le Léopold,"36 Rue Léopold Bellan, 75002 Paris, France",48.8667378,2.3447861,0,0,1,Stella Artois,6.5,,50,Pietra,8.0,,50.0,Superbock,4.5,,33.0,Corona,6 ,,33,,,,,,,,,,,,,,,,
2498,LeVoxx,"1 Rue d'Algérie, 69001 Lyon, France",45.7669987,4.8299891,0,0,1,Cheapest beer,5.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,Lele,"Bergsgatan, 214 22 Malmö, Sweden",55.5941187,13.0081607,0,0,0,Cheapest beer,3.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,Lenouvô Cosmos,"24 Rue du Javelot, 75013 Paris-13E-Arrondissement, France",48.8251734,2.3660416,17,20,2,Cheapest beer,4.5,4.2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,Leon De B - Paris 19,"183 Boulevard Macdonald, 75019 Paris, France",48.8989357,2.3829277,16,19,0,Cheapest beer,5.9,4.9,50,La cadette,5.9,,50.0,Grisette Blanche,6.5,,50.0,Blonde Leon 1893,6.5 ,,50,,,,,,,,,,,,,,,,
2502,Les 3 Brasseurs,"Place de la Gare, 59800 Lille, France",50.6363228,3.0694577,15,17,1,Cheapest beer,5.3,3.1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,Les 3 Frères Bar Restaurant,"98 Boulevard Diderot, 75012 Paris, France",48.8469917,2.3849573,16,22,8,1664,6.0,3.5,50,Leffe Blonde,8.0,6.0,50.0,Hoegaarden Wit-Blanche,8.0,6.0,50.0,Triple Karmeliet,8.6 ,7 ,50,Goose IPA,9 ,7.5 ,50,,,,,,,,,,,,
2504,Les 3 Marmites,"8 Rue Julien Lacroix, 75020 Paris, France",48.8688882,2.3859698,0,0,1,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,Les 3 Singes,"70 Grand Rue, 68000 Colmar, France",48.0749715,7.3572584,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,Les Affranchis,"98 Rue de Tolbiac, 75013 Paris-13E-Arrondissement, France",48.8268331,2.3636109,0,0,0,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,Les Affranchis,"98 Rue de Tolbiac, 75013 Paris, France",48.8268331,2.3636109,15,19,0,Cheapest beer,7.5,5.0,50,1664,7.8,7.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2508,Les Amateurs,"143 Rue Cardinet, 75017 Paris, France",48.8869784,2.3134789,1630,1930,3,Pelican Umbrella,6.5,5.5,50,Mort Subite Blanche,7.5,6.0,50.0,Affligem,8.0,6.0,50.0,Lagunitas IPA,8.5 ,6.5 ,50,Hapkin,8 ,6.5 ,50,,,,,,,,,,,,
2509,Les Amis,"98 Rue Jean Jaurès, 94800 Villejuif, France",48.790686,2.366589,0,0,1,Cheapest beer,5.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,Les Animals,"92 Rue d'Hauteville, 75010 Paris, France",48.8769262,2.351444,0,0,2,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,Les Anémones,"41 Avenue de la République, 75011 Paris, France",48.8653384,2.3748969,15,23,8,Cheapest beer,4.0,4.0,50,Stella Artois,7.0,4.0,50.0,Leffe Blonde,8.0,6.0,50.0,Heineken,8 ,6 ,50,blanche ,8 ,6 ,50,La Chouffe,9 ,7 ,50,,,,,,,,
2512,Les Arcades,"14 Place Saint-Epvre, 54000 Nancy, France",48.6964778,6.179591,1730,21,1,Cheapest beer,6.0,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,Les Artistes,"36 Rue Stanislas, 54000 Nancy, France",48.6923031,6.1792304,0,0,2,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,Les Artistes Du Faubourg,"223 Rue la Fayette, 75010 Paris, France",48.8816321,2.3655291,16,21,1,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,Les Associés,"50 Boulevard de la Bastille, 75012 Paris, France",48.8515867,2.3694337,15,21,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,Les Badauds,"1 Avenue de Saint-Cloud, 78000 Versailles, France",48.8050476,2.1276916,1630,20,5,Kout,6.5,4.0,50,Time out,7.0,5.0,50.0,After work,7.5,5.5,50.0,La blanche,7.5 ,6 ,50,,,,,,,,,,,,,,,,
2517,Les Bambins,"613 Terrasse de l'Arche, 92000 Nanterre, France",48.8955177,2.2270944,16,19,0,Cheapest beer,8.0,5.5,50,1664 Blanche,9.0,6.5,50.0,Grimbergen Blonde,9.5,6.5,50.0,Guinness,9.8 ,7 ,50,,,,,,,,,,,,,,,,
2518,Les Bar'jo,"5 Rue de la Poissonnerie, 66000 Perpignan, France",42.6976712,2.8940743,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,Les Batignolles,49 Avenue Gabriel Péri,48.8469092,2.4473188,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,Les Baux De Paris,"71 Rue Mouffetard, 75005 Paris, France",48.8422784,2.3498249,15,19,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,Les BerThom Fousseret Lyon,"2 Place Ennemond Fousseret, 69005 Lyon, France",45.7647288,4.8286757,16,19,2,Cheapest beer,5.2,4.3,50,La Chouffe,7.3,5.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2522,Les Berthom,"5 Rue Boussairolles, 34000 Montpellier, France",43.6083316,3.880782,17,19,2,Cheapest beer,4.7,4.7,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,Les Berthom,"24 Rue du Palais, 57000 Metz, France",49.1189159,6.1737556,18,20,0,Cheapest beer,4.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,Les Berthom,"18 Rue des Tonneliers, 67000 Strasbourg, France",48.580146,7.7492237,18,20,0,Cheapest beer,5.0,3.6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,Les Berthom,"32 Rue Monge, 21000 Dijon, France",47.3194035,5.0351483,18,20,0,Cheapest beer,5.4,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,Les Berthom,"5 Rue du Commerce, 37000 Tours, France",47.39544255,0.6861109053768215,18,20,0,Cheapest beer,5.4,2.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,Les Berthom,"15 Rue des Bas Trevois, 10000 Troyes, France",48.2938501,4.0788605,0,0,1,Cheapest beer,,2.9,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,Les Berthom,"5 Rue Stanislas, 54000 Nancy, France",48.69314,6.1822312,18,20,3,Cheapest beer,7.0,4.7,50,La Chouffe,,4.7,50.0,Maredsous Blonde,,4.7,50.0,,,,,,,,,,,,,,,,,,,,
2529,Les Berthom,"35 Boulevard Voltaire, 75011 Paris, France",48.8645659,2.3690682,16,19,5,Cheapest beer,6.0,5.0,50,La Chouffe,,5.3,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2530,Les Berthom,"Cours Honoré d'Estienne d'Orves, 13001 Marseille, France",43.292713,5.373391348569164,18,20,1,Cheapest beer,5.4,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,Les Berthom,"45 Cours d'Alsace-et-Lorraine, 33000 Bordeaux, France",44.8378683,-0.5709397,0,0,1,Cheapest beer,5.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,Les Berthoms,"24 Rue Pizay, 69001 Lyon, France",45.7671854,4.8366045,17,19,6,Cheapest beer,5.4,3.7,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,Les Berthoms,"Place de l'Étoile, 63000 Clermont-Ferrand, France",45.7793992,3.0806835,18,20,0,Cheapest beer,5.5,3.6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,Les Bières De Kopin,"76 Avenue de Gascogne, 31490 Léguevin, France",43.5996366,1.232108,0,0,1,Carling,5.4,,50,Basqueland,5.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,
2535,Les Blouses Blanches,"186 Rue du Faubourg Saint-Antoine, 75012 Paris, France",48.8520337,2.3732022,15,1,9,Cheapest beer,5.0,4.0,50,Bavik Pils,5.0,5.0,25.0,Licher Weizen,5.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,
2536,Les Brasseurs,"Boulevard Anspach 77, 1000 Bruxelles, Belgique",50.847923949999995,4.348819895805184,0,0,1,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,Les Capucins,"5 Place des Capucins, 69001 Lyon, France",45.7687964,4.8326156,16,19,1,Cheapest beer,4.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,Les Caractères,"25 Rue des Grands Augustins, 75006 Paris, France",48.853803,2.3403816,17,20,4,Cheapest beer,5.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,Les Cariatides,"3 Rue de Palestro, 75002 Paris, France",48.8645122,2.3509359,17,21,2,Cheapest beer,6.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,Les Cascades,"80 Rue des Cascades, 75020 Paris, France",48.8726888,2.3898782,14,20,3,Cheapest beer,4.4,3.5,50,Kronenbourg Tigre Bock,,3.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2541,Les Caves Alliées,"44 Rue Grégoire de Tours, 75006 Paris, France",48.8519137,2.33741,14,19,2,Meteor,6.0,4.5,50,Mordue (cidre) ,6.0,4.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
2542,Les Caves Populaires,"22 Rue des Dames, 75017 Paris, France",48.8847385,2.3246099,16,19,4,Cheapest beer,5.2,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
